expert_code,shock_id,bloc,stratum,direction,direction_confidence,magnitude_bucket,notes
EXPERT_CODE_HERE,sept_11_2001,african_american,race,,,,
EXPERT_CODE_HERE,sept_11_2001,latino,race,,,,
EXPERT_CODE_HERE,sept_11_2001,asian,race,,,,
EXPERT_CODE_HERE,sept_11_2001,white,race,,,,
EXPERT_CODE_HERE,sept_11_2001,other_race,race,,,,
EXPERT_CODE_HERE,sept_11_2001,evangelical,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,catholic,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,protestant,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,secular,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,jewish,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,muslim,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,other_rel,religion,,,,
EXPERT_CODE_HERE,sept_11_2001,women,gender,,,,
EXPERT_CODE_HERE,sept_11_2001,men,gender,,,,
EXPERT_CODE_HERE,sept_11_2001,other_gender,gender,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,african_american,race,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,latino,race,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,asian,race,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,white,race,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,other_race,race,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,evangelical,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,catholic,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,protestant,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,secular,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,jewish,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,muslim,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,other_rel,religion,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,women,gender,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,men,gender,,,,
EXPERT_CODE_HERE,hurricane_katrina_2005,other_gender,gender,,,,
EXPERT_CODE_HERE,ayatollah_assassination,african_american,race,,,,
EXPERT_CODE_HERE,ayatollah_assassination,latino,race,,,,
EXPERT_CODE_HERE,ayatollah_assassination,asian,race,,,,
EXPERT_CODE_HERE,ayatollah_assassination,white,race,,,,
EXPERT_CODE_HERE,ayatollah_assassination,other_race,race,,,,
EXPERT_CODE_HERE,ayatollah_assassination,evangelical,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,catholic,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,protestant,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,secular,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,jewish,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,muslim,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,other_rel,religion,,,,
EXPERT_CODE_HERE,ayatollah_assassination,women,gender,,,,
EXPERT_CODE_HERE,ayatollah_assassination,men,gender,,,,
EXPERT_CODE_HERE,ayatollah_assassination,other_gender,gender,,,,
EXPERT_CODE_HERE,financial_crisis_2008,african_american,race,,,,
EXPERT_CODE_HERE,financial_crisis_2008,latino,race,,,,
EXPERT_CODE_HERE,financial_crisis_2008,asian,race,,,,
EXPERT_CODE_HERE,financial_crisis_2008,white,race,,,,
EXPERT_CODE_HERE,financial_crisis_2008,other_race,race,,,,
EXPERT_CODE_HERE,financial_crisis_2008,evangelical,religion,,,,
